	RFE
0	60
1	34
2	40
3	45
4	17
5	57
6	1
7	9
8	61
9	24
10	50
11	51
12	16
13	7
14	3
15	39
16	64
17	56
18	44
19	36
20	52
21	2
22	32
23	4
24	5
25	22
26	20
27	62
28	48
29	19
30	35
31	37
32	21
33	26
34	18
35	49
36	47
37	43
38	54
39	8
40	41
41	0
42	33
43	42
44	63
45	67
46	38
47	10
48	12
49	23
50	28
51	29
52	59
53	14
54	13
55	46
56	58
57	11
58	55
59	31
60	6
61	66
62	53
63	65
64	30
65	15
66	27
67	25
