	RFE
0	59
1	24
2	61
3	26
4	40
5	38
6	23
7	11
8	5
9	4
10	28
11	54
12	42
13	52
14	13
15	14
16	27
17	58
18	34
19	33
20	44
21	45
22	30
23	55
24	31
25	17
26	22
27	46
28	67
29	37
30	49
31	64
32	15
33	6
34	36
35	1
36	8
37	66
38	7
39	29
40	50
41	51
42	2
43	62
44	9
45	3
46	65
47	39
48	0
49	43
50	10
51	25
52	53
53	32
54	48
55	21
56	19
57	20
58	18
59	41
60	60
61	57
62	12
63	16
64	47
65	35
66	56
67	63
