	RFE
0	61
1	40
2	1
3	38
4	34
5	54
6	24
7	59
8	46
9	5
10	4
11	11
12	9
13	42
14	63
15	56
16	60
17	22
18	21
19	43
20	62
21	64
22	58
23	7
24	57
25	15
26	14
27	8
28	36
29	51
30	13
31	6
32	35
33	17
34	45
35	49
36	16
37	33
38	50
39	37
40	28
41	20
42	65
43	44
44	10
45	32
46	31
47	52
48	26
49	67
50	55
51	19
52	18
53	47
54	0
55	48
56	39
57	66
58	2
59	27
60	12
61	23
62	29
63	41
64	30
65	53
66	25
67	3
