	RFE
0	24
1	56
2	61
3	64
4	60
5	62
6	23
7	32
8	5
9	4
10	33
11	49
12	28
13	47
14	29
15	67
16	35
17	36
18	0
19	31
20	52
21	44
22	27
23	3
24	54
25	66
26	17
27	50
28	51
29	40
30	45
31	7
32	38
33	34
34	57
35	1
36	9
37	10
38	43
39	22
40	14
41	2
42	16
43	39
44	42
45	13
46	21
47	41
48	48
49	55
50	20
51	53
52	37
53	19
54	59
55	8
56	58
57	6
58	12
59	46
60	65
61	18
62	26
63	11
64	15
65	30
66	63
67	25
