	RFE
0	60
1	40
2	24
3	56
4	7
5	51
6	44
7	45
8	62
9	61
10	64
11	23
12	35
13	16
14	47
15	1
16	9
17	38
18	32
19	3
20	5
21	4
22	8
23	49
24	67
25	37
26	20
27	26
28	36
29	10
30	54
31	39
32	2
33	19
34	28
35	29
36	17
37	12
38	53
39	33
40	43
41	52
42	59
43	55
44	41
45	50
46	48
47	18
48	42
49	58
50	0
51	30
52	15
53	27
54	65
55	66
56	11
57	21
58	31
59	22
60	14
61	63
62	6
63	13
64	57
65	46
66	34
67	25
