	f1	precision	recall	accuracy	TN	FP	FN	TP	n	selection	source	gamma	C
21	0.8	0.819672131148	0.78125	0.806201550388	108.0	22.0	28.0	100.0	49	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34, 46, 20, 23, 53, 58, 4, 49, 47, 52, 8, 3, 38, 45, 55, 9, 16, 32, 7, 66, 36, 33, 13, 17, 48, 50, 44, 28]	f-test	0.01	1000.0
22	0.798449612403	0.792307692308	0.8046875	0.798449612403	103.0	27.0	25.0	103.0	53	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39, 38, 16, 6, 21, 31, 66, 22, 28]	combined	0.01	100.0
23	0.798449612403	0.792307692308	0.8046875	0.798449612403	103.0	27.0	25.0	103.0	9	[10, 43, 56, 1, 40, 62, 61, 60, 24]	mi	0.1	1000.0
24	0.798418972332	0.808	0.7890625	0.802325581395	106.0	24.0	27.0	101.0	43	[10, 43, 56, 1, 40, 62, 61, 60, 24, 35, 63, 12, 46, 19, 7, 26, 33, 11, 8, 59, 47, 23, 0, 32, 54, 9, 48, 22, 2, 55, 39, 13, 44, 45, 49, 50, 18, 51, 20, 3, 53, 42, 58]	mi	0.01	1000.0
25	0.798387096774	0.825	0.7734375	0.806201550388	109.0	21.0	29.0	99.0	28	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21, 51, 50, 33, 32]	ranksum	0.01	1000.0
26	0.798387096774	0.825	0.7734375	0.806201550388	109.0	21.0	29.0	99.0	25	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21, 51]	ranksum	0.01	1000.0
27	0.7969348659	0.781954887218	0.8125	0.794573643411	101.0	29.0	24.0	104.0	22	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61, 18, 2, 12, 54, 63, 19, 42, 34]	f-test	1.0	1.0
28	0.796812749004	0.813008130081	0.78125	0.802325581395	107.0	23.0	28.0	100.0	45	[1, 43, 10, 35, 40, 11, 26, 56, 24, 62, 60, 59, 12, 61, 19, 0, 18, 2, 63, 23, 20, 54, 9, 46, 7, 33, 55, 8, 32, 47, 49, 42, 52, 48, 4, 13, 45, 50, 53, 3, 58, 34, 44, 51, 39]	combined	0.01	1000.0
29	0.796812749004	0.813008130081	0.78125	0.802325581395	107.0	23.0	28.0	100.0	14	[1, 43, 10, 11, 40, 26, 59, 35, 56, 24, 60, 62, 0, 61]	f-test	0.1	100.0
30	0.79674796748	0.830508474576	0.765625	0.806201550388	110.0	20.0	30.0	98.0	24	[1, 43, 10, 11, 26, 59, 35, 19, 12, 18, 20, 24, 62, 60, 40, 56, 2, 23, 52, 9, 61, 55, 0, 21]	ranksum	0.01	1000.0
