	index	f	ranksum	chi	corrcoeff	mi
as_is___exclamation_ratio	0.0	369.345857514	11.4888221427	227.258497002	0.262617011231	0.0462006331594
as_is___long_words_count	1.0	68.5056750136	26.0228505585	4506.05227164	0.116419017749	0.0794070157764
as_is___wh_pronouns	2.0	10.1453940246	7.91474194738	58.1411918058	0.0450626704894	0.0123295943723
as_is___ellipsis_count	3.0	7.07104645788	1.04253715174	178.630486433	0.0376320582657	0.0
as_is___period_ratio	4.0	436.813091746	17.2369006921	105.300169647	0.28381510481	0.0552303579054
as_is___questionmark_ratio	5.0	22.3159552012	3.73463313884	12.0994768335	0.0667516308902	0.00880491678577
as_is___whitespace_ratio	6.0	187.427306619	17.6758968229	1.39676068647	0.190338769174	0.0509954658715
as_is___highlighters_count	7.0	303.939653374	22.559168333	4137.82777442	0.239700159525	0.0886317777784
as_is___paras_count	8.0	0.277471791581	3.38118855194	9.24651957116	0.00745969718198	0.0173115868029
as_is___sent_count	9.0	5.53545240232	9.50880682641	762.241335954	0.0333011690893	0.00494175184409
as_is___word_count	10.0	11.1525789864	17.4558776413	4234.6098706	0.0472417904465	0.0485995417312
as_is___ttr	11.0	25.6547243793	9.13388832019	0.89069534811	0.0715472762539	0.0319179081939
as_is___max_wordlength	12.0	2.30939030631	24.3613257159	119.06158668	0.0215165173625	0.0689715990377
as_is___average_wordlength	13.0	24.6842109404	22.1786355375	25.0841322604	0.070187715659	0.0689413538869
as_is___median_wordlength	14.0	13.5803925142	12.0930907598	12.6113861704	0.0521181970078	0.023296132301
as_is___spaced_words_count	15.0	1.97657912724	0.21906544068	2.89327452241	0.0199064996065	0.0
as_is___edit_distance	16.0	5.48906494287	1.18394645012	3028.41805436	0.0331614966166	0.00419889226116
as_is___lengthening_counts	17.0	5.06192975529	0.779756946728	79.9397676533	0.0318464903458	0.0108274932467
as_is___longest_sent_len	18.0	0.024167551163	20.7861836235	6.29054984646	0.0022016036356	0.0467504758579
as_is___avg_sent_len	19.0	1.52641763434	20.467467005	499.2751844	0.0174941998225	0.0591561751071
as_is___median_sent_len	20.0	1.65781262856	18.759926621	571.42608336	0.0182313738469	0.0340967859333
as_is___shortest_sent_len	21.0	5.30681111044	2.51519179461	2830.33784561	0.0326069127714	0.00777582229995
as_is___subj_ratio	22.0	4.47700148693	1.87727677101	0.269063392285	0.0299517767551	0.0270711864458
as_is___subj_pos_ratio	23.0	127.654086802	13.9859813513	7.37104037835	0.157998035886	0.0482572366524
as_is___subj_neg_ratio	24.0	381.555289837	17.4818646234	28.4569599847	0.266618619945	0.0692620679273
as_is___mdash_count	25.0		0.0			0.000525971799537
as_is___pos_type_ratio	26.0	60.5787553956	10.0359895792	10.1804199263	0.109562427397	0.0415573521132
as_is___JJR_ratio	27.0	12.8719255837	4.99619640174	5.98856848183	0.0507441234767	0.0127873135483
as_is___JJS_ratio	28.0	31.8835911829	3.99497491345	13.9926920432	0.0797119300873	0.00559154654983
as_is___RBR_ratio	29.0	45.5611267904	4.21200505134	22.3518588178	0.0951581196217	0.0129320278038
as_is___RBS_ratio	30.0	15.3293311398	1.6194225887	6.66441332123	0.0553629057613	0.0
as_is___modal_ratio	31.0	75.9055372776	12.5400117894	11.3800664369	0.12245589905	0.0403893682471
as_is___present_ratio	32.0	180.476108876	18.6143975551	17.0070724989	0.186901439682	0.0631604710795
as_is___past_ratio	33.0	281.551710177	20.088654876	72.8481112188	0.231193000264	0.0517184827798
as_is___rep_punc_len_avg	34.0	52.544966955	6.60719264023	1407.83817223	0.102120514037	0.0260844157069
as_is___non_alphanum_ratio	35.0	71.8627312639	6.00191128797	3.53594009798	0.119197827592	0.0422354869941
