	RFE
0	59
1	24
2	62
3	61
4	11
5	53
6	40
7	38
8	23
9	5
10	4
11	47
12	52
13	33
14	28
15	54
16	44
17	29
18	27
19	42
20	67
21	30
22	34
23	45
24	64
25	36
26	49
27	0
28	37
29	41
30	1
31	22
32	55
33	56
34	14
35	66
36	3
37	8
38	48
39	7
40	63
41	58
42	26
43	39
44	25
45	51
46	2
47	17
48	50
49	6
50	35
51	9
52	46
53	60
54	12
55	16
56	32
57	10
58	43
59	31
60	57
61	21
62	65
63	19
64	15
65	18
66	13
67	20
