	RFE
0	24
1	56
2	62
3	61
4	64
5	59
6	60
7	23
8	0
9	33
10	47
11	28
12	29
13	32
14	5
15	4
16	30
17	40
18	44
19	52
20	22
21	67
22	45
23	15
24	17
25	35
26	31
27	66
28	38
29	7
30	27
31	6
32	34
33	58
34	51
35	3
36	50
37	53
38	2
39	49
40	11
41	54
42	55
43	36
44	57
45	9
46	1
47	16
48	42
49	10
50	14
51	39
52	37
53	46
54	26
55	41
56	48
57	65
58	19
59	21
60	18
61	8
62	13
63	25
64	12
65	43
66	20
67	63
