	RFE
0	56
1	24
2	61
3	62
4	64
5	35
6	23
7	60
8	32
9	5
10	4
11	28
12	0
13	33
14	47
15	40
16	67
17	11
18	44
19	59
20	29
21	45
22	22
23	52
24	53
25	38
26	66
27	2
28	7
29	17
30	49
31	51
32	50
33	3
34	54
35	58
36	6
37	34
38	14
39	42
40	36
41	57
42	1
43	9
44	31
45	26
46	15
47	27
48	16
49	10
50	43
51	48
52	55
53	8
54	41
55	18
56	19
57	21
58	39
59	37
60	12
61	13
62	46
63	30
64	65
65	20
66	63
67	25
