	RFE
0	60
1	24
2	7
3	62
4	64
5	61
6	23
7	35
8	44
9	47
10	63
11	41
12	32
13	5
14	4
15	54
16	59
17	49
18	26
19	6
20	67
21	57
22	43
23	28
24	29
25	3
26	12
27	0
28	33
29	8
30	10
31	50
32	58
33	16
34	13
35	40
36	31
37	9
38	38
39	51
40	21
41	37
42	18
43	53
44	22
45	27
46	19
47	1
48	46
49	65
50	20
51	30
52	39
53	14
54	56
55	2
56	52
57	66
58	55
59	48
60	45
61	17
62	36
63	42
64	34
65	11
66	15
67	25
