	RFE
0	40
1	1
2	59
3	24
4	46
5	34
6	54
7	42
8	61
9	56
10	58
11	11
12	62
13	38
14	60
15	52
16	47
17	8
18	23
19	5
20	4
21	45
22	14
23	35
24	7
25	39
26	43
27	37
28	64
29	28
30	33
31	53
32	44
33	41
34	0
35	3
36	12
37	9
38	21
39	15
40	10
41	27
42	30
43	22
44	2
45	55
46	26
47	67
48	13
49	63
50	51
51	29
52	50
53	20
54	16
55	17
56	57
57	18
58	36
59	65
60	19
61	49
62	32
63	31
64	66
65	48
66	6
67	25
